Code,is_lending
540A0,False
54100,True
54110,True
541A0,False
54230,True
542A0,False
543A0,True
54400,True
54440,True
54450,False
54460,False
54490,True
544A0,True
54510,True
54580,False
545A0,False
54610,True
54630,True
54640,True
546A0,True
54710,True
547A0,True
54800,True
54820,True
54840,False
548A0,False
54910,True
549A0,False
550A0,False
55270,False
552A0,False
55320,False
55330,False
55350,False
55370,False
55410,True
55420,False
554A0,False
55630,True
556A0,False
55700,False
55710,False
55720,False
55740,False
55750,False
55760,False
55780,False
55800,False
55820,False
55860,False
55870,False
55880,False
55890,True
558A0,False
55900,True
55910,False
55920,False
55970,False
55990,False
559A0,False
56020,True
56030,True
56090,True
56120,False
56160,False
56180,False
56210,False
56310,True
56320,True
563A0,True
56440,False
564A0,False
56580,True
56590,True
56600,True
566A0,False
568A0,False
56950,False
56970,False
56980,False
56990,False
569A0,False
57020,True
57030,True
57040,False
57060,True
57070,True
570A0,False
57110,True
57130,True
57140,True
57150,True
571A0,False
57210,False
57240,False
57260,True
57290,False
572A0,False
573A0,False
57410,True
57420,True
57530,False
57570,False
575A0,False
576A0,False
577A0,False
578A0,False
579A0,False
58010,True
58020,True
58030,True
58050,True
580A0,False
58160,True
58170,False
58190,False
581A0,False
58200,False
58210,False
58300,True
58310,True
58320,True
58340,True
58380,True
58420,False
58430,False
58440,True
58450,True
584A0,False
58510,True
58520,True
58570,True
58580,False
585A0,False
58670,False
58680,False
58690,True
586A0,False
58700,False
58710,True
587A0,False
58840,False
58850,True
58880,False
58890,False
58910,False
58920,False
589A0,False
59010,True
59020,True
59050,False
59060,False
59090,False
590A0,True
59110,True
59150,True
59180,False
59210,False
59220,False
59230,True
59280,True
59290,True
59300,True
59320,True
59330,True
59360,True
59380,True
59390,False
593A0,False
59400,False
59410,True
59420,False
59430,True
59450,False
59460,True
59470,True
59490,True
59500,True
59510,True
59520,False
59550,True
59560,True
59570,True
59580,True
59590,True
59620,False
59650,False
59660,False
59670,False
59690,False
59700,True
59710,False
59730,False
59750,True
59760,True
59810,True
59820,False
59830,False
59840,False
59850,True
59860,True
59870,False
59880,True
59890,True
598A0,False
59900,False
59910,True
59920,True
59940,False
59980,True
60050,True
600A0,False
60130,True
60160,False
60180,False
60220,False
60230,True
60270,True
60290,False
60300,False
60310,True
60330,True
60340,True
60350,True
60360,True
60370,True
60380,True
60390,False
603A0,False
60400,False
60420,False
60440,False
60450,True
60460,True
60470,True
60490,False
604A0,False
60500,True
60540,True
60550,True
60580,True
60590,True
605A0,False
60610,False
60620,True
60630,False
60690,True
606A0,False
60700,True
60710,True
60720,True
60730,True
60740,False
60780,True
60800,True
60810,True
60820,False
60830,True
60850,False
60860,False
60870,False
60880,True
60890,True
608A0,False
60900,False
60910,True
60920,True
60930,True
60940,False
60980,True
60990,True
609A0,False
61010,True
61030,True
61040,True
610A0,False
61130,True
61180,True
611A0,False
61250,False
612A0,False
61340,True
61350,True
61360,True
61370,True
61380,False
61400,True
61410,True
61430,True
61440,False
61450,True
61460,True
61470,False
61490,False
61500,False
61510,True
61550,False
61560,False
61570,True
61580,True
61590,False
61610,False
61650,True
61660,False
61670,True
61710,True
61760,False
61770,False
61780,True
61800,False
61810,False
61820,True
61830,True
61840,True
61850,True
61860,False
61890,True
61900,False
61910,True
61930,False
61940,True
61950,False
61960,True
61970,False
61980,False
61990,True
62000,True
62030,True
62080,True
62090,True
62170,True
62180,True
62220,True
62230,True
62240,False
62260,True
62270,True
62280,False
62290,False
62300,False
62310,False
62320,True
62330,False
62350,True
62370,True
62380,True
62390,False
62400,True
62450,True
62460,True
62470,True
62480,False
62490,False
62500,True
62540,True
62550,True
62570,True
62580,True
62620,True
62640,True
62650,False
62660,True
62670,False
62680,True
62690,True
62720,True
62730,True
62760,False
62770,True
62780,True
62790,True
62820,True
62840,True
62860,False
62870,True
62890,True
62910,False
62920,False
62940,True
62980,True
63010,True
63020,True
63050,True
63060,True
63070,False
63090,False
63100,True
63150,True
63160,True
63170,True
63220,False
63230,True
63240,True
63250,True
63260,True
63270,False
63280,True
63300,True
63310,True
63320,True
63330,True
63340,False
63350,True
63360,False
63370,False
63380,True
63390,True
63400,True
63420,False
63430,True
63450,True
63470,False
63490,True
63510,True
63560,True
63570,True
63580,True
